complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
aeon.pairing	aeon, coholon, receiver, ratio	t_R(γ) = ⟨ω_R | γ⟩ = ∫_γ ω_R = n_R + r_R, n_R ∈ ℤ windings (quotient), r_R open phase (remainder);  ω_R = dθ_R or −U_μ dx^μ	elapsed time is the Holon/coholon pairing of an aeon with a receiver's closed clock form; no frame is privileged and rates are ratios of readings	closed 1-form clocks	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Geometry/PhaseCarry:winding_add; L:Objects/Pairing:coboundary_face; R:holonics::aeon::reading	definition	uses:holon.stokes
aeon.concatenation-carry	aeon, ratio	t_R(γ₁ · γ₂) = t_R(γ₁) + t_R(γ₂) with winding(x+y) = winding x + winding y + carry	readings add under concatenation with the carry cocycle		N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Geometry/PhaseCarry:carry_cocycle; R:holonics::aeon::Reading::add	formal-checked	uses:winding.carry-cocycle
aeon.cycle-reading	aeon, cycle, coholon	closed aeon: r_R = 0 for every integral clock; n_R topological, gauge-free, deformation-invariant; exact parts integrate to zero	a cycle's readings are whole windings, conserved counts rather than elapsed quantities	integral clock	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Geometry/PhaseCarry:closed_loop_has_integer_winding; L:Objects/Pairing:pairing_add_coboundary; R:holonics::aeon::Cycle	formal-checked	uses:aeon.pairing
aeon.epoch-ticks	aeon, epoch, receiver	epoch ticks = oriented crossings of Σ_R; tick rate = flux ∫_(Σ_R) ρ v·n dS; coarsening merges epochs by first return to Σ' ⊂ Σ (the Odometer's carry on a digit clock)	the time a receiver counts is the flux of the Holarchy's motion through its section; the partition belongs to the receiver and grain	record definition	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Objects/Parametron:ownerCrossings_eq_targetTicks; L:Geometry/PhaseCarry:odometer_iterate; R:holonics::aeon::epochs	definition	uses:aeon.signed-flux
aeon.kac-grain-ratio	aeon, epoch, tower	mean first return to Σ' from π|Σ' as the undivided pair (Σ_(y∈Σ') π_y m_y : π(Σ')) = (π(Σ) : π(Σ')); = μ(Σ)/μ(Σ') fine epochs per coarse epoch when π(Σ') ≠ 0	how much finer time passes per coarse epoch is a ratio of section measures (Kac), not a property of a privileged clock	finite chain, stationary π, m solving the first-step equations (exists if stochastic, irreducible, Σ' ≠ ∅); divided form for π(Σ') ≠ 0; ergodic measure-preserving maps owed #62	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Aeon/Production/Kac:kac_grain_ratio; R:holonics::aeon::MarkovChain::grain_ratio	formal-checked	uses:aeon.epoch-ticks
aeon.two-clocks-lock	aeon, cycle, key, landmark	α = p/q ⇒ lock at Farey address (q v_a = p v_b), every q-tick aeon a cycle;  α irrational ⇒ no cycle, epoch grains are convergents p_n/q_n with |q_n α − p_n| ≤ 1/q_(n+1) and < 1/q_n (n ≥ 1); three-distance theorem bounds the gaps	the winding decides where a Holarchy's own temporal boundaries fall	two clocks with frequency ratio α; the strict bound and the three-distance theorem are in aeon.near-return-strict-open	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Geometry/PairResonance:mediant_neighbours_both; L:Geometry/Farey:theProductCarriesTheConvergents; L:Aeon/Clock/Lock:lock_at_address; L:Aeon/Clock/Lock:no_cycle_of_irrational; L:Aeon/Clock/Lock:convergent_near_return; L:Aeon/Clock/Lock:convergent_near_return_lt; R:holonics::aeon::TwoClocks	formal-checked	uses:lock.farey-neighbour
aeon.boundary-retention	aeon, compression, deposition	at an aeon boundary the future-sufficient quotient of the constitution is taken; what rests is the retained constitution, not a record of the aeon's interior	a program-chosen save point was a proxy for this	record definition	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Foundation/Standing:standingLaw_exists_iff_future_factors	definition	uses:compression.retention-quotient
aeon.a1-groupoid	aeon, cycle	occurrences = objects, aeons = arrows, concatenation, reversal Rγ inverse; clock = representation in (ℝ,+) lifting a circle phase; closed form = flat time connection; epoch crossings = ℤ-valued cocycle; carry = 2-cocycle of reduction mod the period; closed-clock cycle readings factor through H₁	A1: the aeon groupoid with clocks as time connections	combinatorial aeons on an oriented 2-complex; epoch crossings as a closed cut cochain; smooth fundamental groupoid outside the Lean	L:Aeon/Clock/Groupoid:instGroupoid; L:Aeon/Clock/Reading:classReading_comp; L:Aeon/Clock/Reading:cycle_reading_factors_through_homology; L:Aeon/Clock/Epoch:crossings_concat; L:Aeon/Clock/Winding:carry_cocycle; N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; R:holonics::aeon::Aeon	formal-checked	uses:aeon.pairing
aeon.a2-hodge-time	aeon, constitution, coholon	ω = dφ (state: boundary-read) + h (winding: cycle-read, conserved) + δβ (production: coexact curvature, nonzero on contractible cycles)	A2: Hodge-decomposed time; an aeon is relatively complete for a clock exactly when that clock reads exactly on it (agent-inferred)	finite weighted cell complex over ℚ in Lean; compact Riemannian manifold standard (continuum Hodge owed #62)	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Foundation/HodgeReceiver:hodge_decomposition; L:Aeon/Production/HodgeTime:timeSplit_unique; L:Aeon/Production/HodgeTime:boundary_determined_iff_exact; L:Aeon/Production/HodgeTime:production_is_curvature; L:Aeon/Production/HodgeTime:isClosed_iff_production_zero; R:holonics::aeon::hodge_split	formal-checked	uses:constitution.hodge-split
aeon.a3-asymptotic-cycle	aeon, cycle, receiver	γ_T/T → A_μ ∈ H₁(M;ℝ) (Schwartzman); long-run tick rate of R = ⟨[ω_R], A_μ⟩; on a torus A_μ is the rotation vector	A3: receivers' long-run rates are pairings with one asymptotic cycle	flow-invariant probability measure	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md	proved-standard	uses:aeon.pairing
aeon.a4-entropy-clock-change	aeon, epoch, ratio	entropy per epoch = entropy per unit time × mean epoch length (Abramov); with Kac, entropy is a density along aeons transforming by the ratio of clock readings	A4: each clock has its own entropy rate, related by pairings	ergodic return map (standard); finite stochastic irreducible Markov chain with π(A) ≠ 0 in Lean; KS entropy of the induced shift owed #62	L:Aeon/Production/Kac:abramov; L:Aeon/Production/Kac:abramov_ledger; N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md	proved-standard	uses:aeon.kac-grain-ratio
aeon.a5-production-clock	aeon, contact, holon	dS = δQ/T + σ, σ ≥ 0; ∮δQ/T = −∮σ ≤ 0 (Clausius); in the Holon σ = ⟨Jv, DJv⟩/T, Dirac and Cayley parts contribute zero	A5: production is a positive non-closed clock, the arrow; the entropy axis is a curvature term, not a second phase clock	standard; Holon reading agent-inferred	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Holon/Conformance:pairContact_resistive	proved-standard	uses:contact.power
aeon.a6-irreversibility-kl	aeon, ratio, receipt	σ(γ) = D(P_γ ‖ P_(Rγ)) ≥ 0, additive over epochs (Markov), zero ⇔ detailed balance	A6: the arrow of an aeon is the divergence between the aeon and its reversal: cross-entropy as a literal physical effect	finite chain of exact rationals, π > 0, P ≥ 0 with symmetric support; stationary stochastic for additivity and the ⇔; logarithms read in ℝ	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Aeon/Production/PathReversal:production_eq_zero_iff; L:Aeon/Production/PathReversal:detailedBalance_eigenvalue_real; R:holonics::aeon::MarkovChain::mean_production	formal-checked	uses:aeon.a5-production-clock
aeon.a7-first-law-learning	aeon, deposition, ratio	ΔC = ∫ −Σ ṗ log q (exchange) + ∫ −Σ p q̇/q (deposition); each path-dependent, the sum boundary-determined; over a cycle exchange = −deposition	A7: the first law of learning, the heat/work structure of cross-entropy change	exact identity; reading agent-inferred	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; R:holonics::aeon::learning_balance; L:Aeon/Production/FirstLaw:first_law_epoch; L:Aeon/Production/FirstLaw:first_law_aeon	formal-checked	uses:aeon.a2-hodge-time
aeon.a8-dynamical-zeta	aeon, cycle, navigator	ζ(T) = exp Σ N_n Tⁿ/n = 1/det(I − T·M); flow: ∏_c (1 − e^(−s·t(c)))⁻¹; trace formula weights cycles by t(c)/|det(1 − P_cᵏ)|^(1/2)	A8: the dynamical zeta of the epoch return map is the machine's trace faces	finite/linear return map	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; R:holonics::aeon::zeta	proved-standard	equiv:navigator.zeta
aeon.a9-placement-reversibility	aeon, parametron, constitution	detailed balance ⇒ navigator self-adjoint in L²(π), real spectrum; G ≻ 0, S = Sᵀ ⇒ σ(G⁻¹S) ⊂ ℝ; production permits complex spectrum	A9: spectral placement on the real line is reversibility; modes on the unit circle are conserved, inside it decay	finite form of #54	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md; L:Transport/HolonicInteraction:selfAdjoint_of_no_structure	proved-standard	uses:holon.no-structure-self-adjoint
aeon.a10-production-functional	aeon, cycle, compression	P ≥ 0 on aeons with zero set = distinguished class: σ (reversible cycles), antisymmetric part (real spectrum), calibration defect Vol(Z) − ⟨ω^p/p!, Z⟩ (complex cycles), 2ν|Def u|²/T (Kelvin-conserved Euler cycles)	A10: one production functional whose zero set is the distinguished class in each subject; indefiniteness removes the lower bound	agent-inferred synthesis over standard facts	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md	interpretation	uses:aeon.a5-production-clock
aeon.a11-singular-aeon	aeon, epoch	one clock's reading finite while another clock's epoch count diverges (ratio blows up); Beale–Kato–Majda: smooth continuation past T* ⇔ ∫₀^(T*) ‖ω‖_∞ dt < ∞	A11: a singular aeon is two clocks whose ratio blows up; closed orbits of commuting clocks are its cycles	definition; BKM standard	N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md	definition	uses:aeon.pairing
aeon.parametric-time-cross-entropy	aeon, ratio, receipt	d/dλ H(p,q) = −Σ ṗ log q − Σ p q̇/q along a clock λ; σ = D(P_γ‖P_(Rγ)); F(p) − F(q) = k_B T·D(p‖q)	cross-entropy is flux across crossing sections and axes of time; its rate along an aeon depends on which clock form parametrizes it	CLAUDE.md governing law	D:docs/ELEMENTARY_OBJECTS.md#12-aeon-epoch-and-cycle-the-passage-of-time; N:2026-09-24_THE_AEON_EPOCH_AND_CYCLE_STANDARDIZE_THE_PASSAGE_OF_TIME.md	definition	uses:aeon.a7-first-law-learning
compression.cokernel-two-term	compression, coholon	(∀y∈range T, ω y = 0) ⇔ Tᵀω = 0 ⇔ ω ∈ (range T)^⊥	a coholon annihilating the image is exactly a cocycle of the two-term complex C₁→C₀; kernel/cokernel is the two-term pairing	any linear T	L:Objects/Pairing:annihilates_range_iff_cocycle; L:Objects/Pairing:annihilates_range_iff_mem_dualAnnihilator	formal-checked	specializes:compression.cokernel
compression.fredholm-alternative	compression, coholon, key	(∃x, Mx = y) ⇔ ∀ω (Mᵀω = 0 ⇒ ⟨ω,y⟩ = 0)	a target is reached exactly when every cokernel coholon vanishes on it; an obstructed target is certified by one cocycle	rational matrices	L:Objects/Pairing:mem_range_iff_coholon_cocycles_vanish; L:Transport/EditRigidity:mem_range_iff_annihilators_vanish	formal-checked	uses:compression.cokernel-two-term
compression.joint-kernel	compression, receiver	collapsed(ρ family) = ⋂ ker ρ_i = ker(joint reading);  x, y unseparated ⇔ x − y ∈ collapsed	an additive receiver family collapses exactly its joint kernel	additive receivers	L:Foundation/Receiver:theCollapsedIsTheJointKernel; L:Foundation/Receiver:unseparatedIffDifferenceCollapsed; L:Foundation/Receiver:jointReading	formal-checked	specializes:compression.kernel
compression.retention-quotient	compression, receipt, deposition	∃ StandingLaw with retain r ⇔ ∀x,y (r x = r y ⇒ causalSignature x = causalSignature y);  canonical standing = the causal signature itself	retention is any quotient through which every admitted future observation factors, and no other; the causal signature is the coarsest such quotient	Nonempty Face	L:Foundation/Standing:standingLaw_exists_iff_future_factors; L:Foundation/Standing:canonicalStanding; L:Foundation/Standing:causalSignature_eq_iff_futureAgreement	formal-checked	uses:receipt.standing-law
compression.two-histories-one-standing	compression, receipt	two different passage histories leave one medium standing; two presents with one present face carry standings a later receiver separates	standing forgets history, and a present face does not determine standing	witness carrier (wave, medium)	L:Foundation/Standing:two_histories_leave_one_standing; L:Foundation/Standing:one_present_face_two_standings_separated_later	counterexample	instance-of:compression.retention-quotient
compression.kernel	compression, receiver, navigator	𝒦 = futureCollapsed = {x | ∀ρ, ∀w∈G*, ρ(T_w x) = 0} (additive);  generally futureAgreement(x,y) := ∀ρ,w ρ(T_w x) = ρ(T_w y)	the relevance kernel: the differences no admitted future receiver distinguishes after any ordered navigator history; quotienting by it is compression and is retention	additive transports and receivers for the subgroup form	L:Foundation/CausalRelevance:futureCollapsed; L:Foundation/CausalRelevance:mem_futureCollapsed_iff; L:Foundation/CausalRelevance:futureAgreement; D:docs/plans/THE_REBUILD.md#the-line-the-rebuild-serves; R:holonics::compression::FaceMap::kernel	definition	
